"categories","name","address","city","tel","fax","link","lat","lng"
"31","Triskalia CADEN","Z.A. de Penhouët","56220 CADEN","Téléphone : 02.97.67.80.20","Fax : 02.97.67.82.72","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-caden/","47.644458","-2.29785"
"31","Triskalia BUBRY","Route de Plouay","56310 BUBRY","Téléphone : 02.97.51.36.88","Fax : 02.97.27.14.27","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-bubry/","47.95877400000001","-3.1841002999999546"
"31","Triskalia BRIEC","8, Rue C. de Gaulle","29510 BRIEC","Téléphone : 02.98.57.93.43","Fax : 02.98.57.58.65","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-briec/","48.0976338","-4.001182800000038"
"31","Triskalia BREHAND MONC.","Bourg, Moncontour","22510 BREHAND","Téléphone : 02.96.42.78.38","Fax : 02.96.52.13.73","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-brehand-monc/","47.958938","-3.182983"
"31","Triskalia BRASPARTS","71  rue Saint Michel","29190 BRASPARTS","Téléphone : 02.98.81.42.88","Fax : 02.98.81.42.93","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-brasparts/","48.30583","-3.953525"
"31","Triskalia BAZOUGES LA PEROUSE","Rue d'Antrain","35560 BAZOUGES","Téléphone : 02.99.97.41.59","Fax : 02.99.97.42.95","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-bazouges-perouse/","48.426468","-1.568552"
"31","Triskalia BAINS SUR OUST","35 Grande Rue LE BOURG","35600 BAINS SUR OUST","Téléphone : 02.90.02.39.77","Fax : 02.99.91.77.53","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-bains-oust/","47.70493","-2.070562"
"31","Triskalia AUGAN","Z.I. de Beaurepaire","56800 AUGAN","Téléphone : 02.97.93.48.96","Fax : 02.97.93.14.50","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-augan/","47.931699","-2.282763"
"31","Triskalia AMBON","Z.A. de Sainte Julitte","56190 AMBON","Téléphone : 02.97.41.16.80","Fax : 02.97.41.27.31","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-ambon/","47.584238","-2.552961"
"6","Point Vert TINTENIAC","Z.A. Les Vairies","35190 TINTENIAC","Téléphone : 02.99.68.15.70","Fax : 02.99.68.00.23","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-tinteniac/","48.326725","-1.847241"
"6","Point Vert TELGRUC","Croas  Méno","29560 TELGRUC","Téléphone : 02.98.27.71.87","Fax : 02.98.27.35.51","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-telgruc/","48.235433","-4.330151"
"6","Point Vert ST RENAN","Route de Plouarzel","29290 SAINT RENAN","Téléphone : 02.98.84.24.30","Fax : 02.98.84.21.72","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-ste-renan/","48.549602","-3.876731"
"6","Point Vert ST NICOLAS DU PELEM","ZA du Ruellou","22480 ST NICOLAS DU PELEM","Téléphone : 02.96.29.51.64","Fax : 02.96.29.73.07","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-st-nicolas-pelem/","48.304084","-3.1540039999999863"
"6","Point Vert ST MEEN LE GRAND","74 Rue de Merdrignac","35290 ST MEEN LE GRAND","Téléphone : 02.99.09.61.06","Fax : 02.99.09.46.48","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-st-meen-grand/","48.188551","-2.198831"
"6","Point Vert SCAER","Z.I. de Miné Rulan","29390 SCAER","Téléphone : 02.98.59.42.09","Fax : 02.98.57.67.74","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-scaer/","48.021069","-3.714083"
"6","Point Vert SAINT MELOIR","57 Rue Clos Poulet","35350 SAINT MELOIR DES ONDES","Téléphone : 02.99.89.10.32","Fax : 02.99.89.17.84","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-saint-meloir/","48.64057","-1.909694"
"6","Point Vert SAINT ALBAN","Au Poirier","22400 SAINT ALBAN","Téléphone : 02.96.32.90.36","Fax : 02.96.32.97.33","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-saint-alban/","48.554587","-2.538552"
